scorer,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,Sound Stimulus,Sound Stimulus,Sound Stimulus,Left Knee,Left Knee,Left Knee,Left Foot,Left Foot,Left Foot,Right Knee,Right Knee,Right Knee,Right Foot,Right Foot,Right Foot
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
15,728.2183895111084,458.03868532180786,0.9999998807907104,701.3023900985718,139.70063534379005,0.9999990463256836,133.31449270248413,19.695765376091003,0.2166043221950531,668.2110209614038,410.75865042209625,0.9999993443489075,717.5218051671982,547.2846471071243,1.0,788.909367442131,387.4069728255272,1.0,837.9130256175995,507.10854983329773,0.9999994039535522
16,728.3548774719238,454.7854516506195,1.0,700.5666126012802,139.93429915606976,0.9999985694885254,133.2978072166443,19.718417286872864,0.21986877918243408,665.6081042289734,407.16569924354553,0.9999998211860657,717.840888261795,545.5537469387054,0.9999998807907104,789.7336702346802,388.49233716726303,1.0,838.6709582805634,507.94831927120686,0.9999992251396179
17,723.3836807608604,454.8990595340729,1.0,699.9269344583154,141.14246273040771,0.9999986886978149,133.38601350784302,19.708644777536392,0.21601393818855286,656.0642414093018,398.96356439590454,0.9999995231628418,708.5991991758347,543.7002310752869,0.9999997615814209,788.2096344381571,388.2302897274494,1.0,835.7831463813782,509.5397855043411,0.9999997019767761
18,730.2445726394653,458.25848627090454,0.9999990463256836,702.1103239059448,142.34331703186035,0.9999997019767761,133.349374294281,19.73396274447441,0.21916607022285461,656.5731556415558,395.7550546079874,1.0,721.4553527832031,535.8925251960754,0.9999939203262329,790.066211938858,390.4176502227783,1.0,837.6164538860321,511.6662573814392,0.9999988079071045
19,733.8440699577332,458.52040576934814,0.9999996423721313,703.5840759277344,141.9305385351181,0.9999997019767761,133.49741315841675,19.720201164484024,0.21961024403572083,659.4040554761887,397.1172994375229,1.0,724.159932166338,543.5578360557556,0.999997079372406,791.0574681758881,389.9526196718216,1.0,839.3361282348633,510.05358958244324,0.9999992251396179
20,731.890509866178,461.2799257040024,0.9999982118606567,702.5808231830597,142.2406153678894,0.9999996423721313,133.44283485412598,19.790928781032562,0.22674033045768738,659.2277948856354,396.54677629470825,0.9999999403953552,717.8431166410446,539.7936715036631,0.9999980926513672,791.085052728653,388.7611982822418,1.0,838.5910432338715,508.631727039814,0.9999992847442627
21,732.5515810847282,460.7801368832588,0.9999988079071045,702.2493531703949,142.2505841255188,0.9999996423721313,133.46053457260132,19.185096621513367,0.2201613187789917,665.1257429122925,403.127928853035,1.0,720.5536742210388,542.8326427936554,0.9999994039535522,791.0452246665955,389.8857733011246,1.0,838.4612605571747,509.19681906700134,0.999998152256012
22,728.5991530418396,454.93125557899475,0.9999999403953552,701.7853544950485,141.36185836791992,0.9999996423721313,133.9358949661255,19.40254521369934,0.24837982654571533,673.8160693645477,408.8732500076294,0.9999997615814209,735.6273295879364,542.981264591217,0.9999975562095642,788.3377533853054,387.8037809282541,1.0,834.2388904094696,508.4453254342079,0.9999992251396179
23,723.8805992528796,454.77306866645813,1.0,700.4195637702942,141.51654434204102,0.9999996423721313,134.0207724571228,19.46316969394684,0.2516700327396393,673.5188467502594,414.73097801208496,0.9999998807907104,732.9347373843193,545.8788628578186,0.9999999403953552,783.8893890380859,386.52399730682373,1.0,830.5872159004211,514.0954005718231,0.9999998211860657
24,727.9959671497345,457.6486659049988,0.9999998211860657,699.5396320521832,142.595139503479,0.9999997615814209,134.04064893722534,19.538981199264526,0.25039875507354736,674.065792798996,417.3039746284485,0.9999999403953552,734.1685280799866,548.8218153715134,1.0,785.3502466678619,387.4368551373482,1.0,835.2258594632149,516.543334543705,1.0
